month_start,atc_level3,total_rx_atc3,known_status_rx_atc3,status_coverage_atc3,filled_rx_atc3,refill_adherence_atc3,unique_patients_atc3,pct_female_atc3,median_age_atc3,pct_admin_visits_atc3,low_coverage_flag_atc3
2023-04-01,M02A,5,5,100.0,4,80.0,5,1320.0,3.0,,0
2023-04-01,M03B,6,4,66.67,4,100.0,5,858.33,5.0,,1
2023-04-01,M04A,7,7,100.0,7,100.0,6,900.0,4.0,,0
2023-04-01,MISSING,23,21,91.3,21,100.0,17,256.52,18.0,,0
2023-04-01,N02A,9,9,100.0,9,100.0,9,633.33,8.0,,0
2023-04-01,N02B,12,12,100.0,12,100.0,11,454.17,11.0,,0
2023-04-01,N03A,5,5,100.0,3,60.0,5,1220.0,4.0,,0
2023-04-01,N05A,2,2,100.0,2,100.0,1,3150.0,2.0,,0
2023-04-01,N05B,23,23,100.0,20,86.96,21,273.91,21.0,,0
2023-04-01,N05C,2,2,100.0,2,100.0,2,3525.0,2.0,,0
2023-04-01,N06A,5,5,100.0,5,100.0,5,1260.0,5.0,,0
2023-04-01,N06B,10,10,100.0,10,100.0,9,645.0,8.0,,0
2023-04-01,N07C,9,8,88.89,7,87.5,7,700.0,9.0,,0
2023-04-01,P01A,1,1,100.0,1,100.0,1,7300.0,1.0,,0
2023-04-01,R01A,2,1,50.0,1,100.0,2,2975.0,0.0,,1
2023-04-01,R03A,10,9,90.0,7,77.78,10,545.0,5.0,,0
2023-04-01,R03B,3,2,66.67,2,100.0,3,1833.33,1.0,,1
2023-04-01,R03D,9,9,100.0,8,88.89,9,600.0,8.0,,0
2023-04-01,R05D,1,0,0.0,0,,1,900.0,0.0,,1
2023-04-01,R05F,1,0,0.0,0,,1,2700.0,1.0,,1
2023-04-01,R06A,16,14,87.5,14,100.0,14,340.62,15.0,,0
2023-04-01,S01A,1,1,100.0,1,100.0,1,5700.0,1.0,,0
2023-04-01,S01G,1,1,100.0,1,100.0,1,5500.0,1.0,,0
2023-04-01,S03A,1,1,100.0,1,100.0,1,4200.0,1.0,,0
